field,hlb,qpcr
ALCO202602,2,21.678724
ALCO202602,2,21.140006
ALCO202602,2,23.390557
ALCO202602,2,22.30733
ALCO202602,1,23.837968
ALCO202602,2,22.089761
ALCO202602,2,23.028646
ALCO202602,1,22.790154
ALCO202602,2,23.56775
ALCO202602,2,22.27811
ALCO202602,1,25.580131
ALCO202602,2,22.535391
ALCO202602,2,22.753608
ALCO202602,2,20.640637
ALCO202602,2,20.609121
ALCO202602,2,23.28633
ALCO202602,2,20.097226
ALCO202602,2,20.096928
ALCO202602,2,21.174984
ALCO202602,2,22.818116
ALCO202602,2,22.832867
ALCO202602,2,20.38064
ALCO202602,1,21.137603
ALCO202602,2,24.410801
ALCO202602,2,23.837377
ALCO202602,2,24.400298
ALCO202602,2,21.574817
ALCO202602,2,23.657112
ALCO202602,2,23.875083
ALCO202602,2,22.669396
ALCO202602,2,24.189886
ALCO202602,2,24.800497
ALCO202602,2,25.191715
ALCO202602,1,22.740426
ALCO202602,1,25.010226
ALCO202602,2,23.863492
ALCO202602,2,24.475631
ALCO202602,2,26.715921
ALCO202602,2,23.626083
ALCO202602,2,23.211053
ALCO202602,2,25.136216
ALCO202602,2,22.368002
ALCO202602,1,23.283963
ALCO202602,2,27.689513
ALCO202602,2,27.998946
ALCO202602,2,22.915323
ALCO202602,2,22.586164
ALCO202602,2,25.149107
ALCO202602,2,23.930122
ALCO202602,2,24.376807
ALCO202602,2,23.677408
ALCO202602,2,23.31983
ALCO202602,2,25.99457
ALCO202602,1,24.337551
ALCO202602,1,22.534943
ALCO202602,2,24.192906
ALCO202602,2,24.882717
ALCO202602,2,27.243895
ALCO202602,2,25.418477
ALCO202602,2,23.294997
ALCO202602,2,23.650689
ALCO202602,2,24.775961
ALCO202602,2,22.914823
ALCO202602,2,24.110904
ALCO202602,2,28.801382
ALCO202602,2,22.913891
ALCO202602,2,23.534056
ALCO202602,2,29.426236
ALCO202602,2,23.864396
ALCO202602,2,21.561613
ALCO202602,2,21.502883
ALCO202602,2,23.112205
ALCO202602,2,23.07037
ALCO202602,2,19.869831
ALCO202602,2,25.904098
ALCO202602,2,25.686365
ALCO202602,2,22.27302
ALCO202602,2,23.310869
ALCO202602,1,21.991681
ALCO202602,2,22.559944
ALCO202602,2,23.99499
ALCO202602,2,22.095189
ALCO202602,2,23.432881
ALCO202602,2,22.976698
ALCO202602,2,26.065248
ALCO202602,2,24.689639
ALCO202602,2,24.543758
ALCO202602,2,22.149927
ALCO202602,2,23.430568
ALCO202602,2,23.508831
ALCO202602,2,23.424957
ALCO202602,1,21.65213
ALCO202602,2,23.091596
ALCO202602,2,24.873106
ALCO202602,2,22.299133
ALCO202602,2,23.7737
ALCO202602,2,24.254488
ALCO202602,1,24.565996
ALCO202602,2,21.167533
ALCO202602,2,25.02207
ALCO202602,2,23.407437
ALCO202602,2,24.038672
ALCO202602,2,23.687236
ALCO202602,2,28.142924
ALCO202602,2,22.023597
ALCO202602,2,21.51872
ALCO202602,2,22.528349
