Source,Altitude,TreeKey,Class,File
L1,20,1|0127|2,0,020/0_0127_1_2_020_1.las
L1,20,1|0148|2,0,020/0_0148_1_2_020_1.las
L1,20,1|0146|2,0,020/0_0146_1_2_020_1.las
L1,20,1|0142|2,0,020/0_0142_1_2_020_1.las
L1,20,1|0155|2,0,020/0_0155_1_2_020_1.las
L1,20,1|0154|2,0,020/0_0154_1_2_020_1.las
L1,20,1|0171|2,0,020/0_0171_1_2_020_1.las
L1,20,1|0169|2,0,020/0_0169_1_2_020_1.las
L1,20,1|0165|2,0,020/0_0165_1_2_020_1.las
L1,20,1|0228|2,0,020/0_0228_1_2_020_1.las
L1,20,1|0172|2,0,020/0_0172_1_2_020_1.las
L1,20,1|0174|2,0,020/0_0174_1_2_020_1.las
L1,20,1|0243|2,0,020/0_0243_1_2_020_1.las
L1,20,1|0237|2,0,020/0_0237_1_2_020_1.las
L1,20,1|0249|2,0,020/0_0249_1_2_020_1.las
L1,20,1|0259|2,0,020/0_0259_1_2_020_1.las
L1,20,1|0250|2,0,020/0_0250_1_2_020_1.las
L1,20,1|0269|2,0,020/0_0269_1_2_020_1.las
L1,20,1|0262|2,0,020/0_0262_1_2_020_1.las
L1,20,1|0270|2,0,020/0_0270_1_2_020_1.las
L1,20,1|0260|2,0,020/0_0260_1_2_020_1.las
L1,20,1|0240|2,0,020/0_0240_1_2_020_1.las
L1,20,1|0271|2,0,020/0_0271_1_2_020_1.las
L1,20,1|0308|1,0,020/0_0308_1_1_020_1.las
L1,20,1|0272|2,0,020/0_0272_1_2_020_1.las
L1,20,1|0327|1,0,020/0_0327_1_1_020_1.las
L1,20,1|0356|2,0,020/0_0356_1_2_020_1.las
L1,20,1|0343|2,0,020/0_0343_1_2_020_1.las
L1,20,1|0358|2,0,020/0_0358_1_2_020_1.las
L1,20,1|0348|2,0,020/0_0348_1_2_020_1.las
L1,20,1|0336|2,0,020/0_0336_1_2_020_1.las
L1,20,1|0340|2,0,020/0_0340_1_2_020_1.las
L1,20,1|0346|2,0,020/0_0346_1_2_020_1.las
L1,20,1|0367|2,0,020/0_0367_1_2_020_1.las
