Method,Representation,Strategy,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate,FieldUnweightedAccuracy,WorstFieldAccuracy
CorePF_LR,Core penetration fraction,H300_WITHIN,778,0.6683804627249358,0.6421955391497354,0.6407740049638316,0.8749619114454743,0.39331619537275064,0.9575835475578406,0.042416452442159386,0.6147226986849628,0.5
CorePF_LR,Core penetration fraction,L1_TO_H300_BIAS,778,0.6311053984575835,0.5919914366986518,0.5752840688785461,0.8303134119344888,0.4691516709511568,0.9177377892030848,0.08226221079691516,0.5491727699274869,0.4126984126984127
CorePF_LR,Core penetration fraction,L1_TO_H300_RAW,778,0.43573264781491,0.44509475490485934,0.4131228696395729,0.7049535735274899,0.7737789203084833,0.800771208226221,0.19922879177377892,0.3994822438218664,0.2777777777777778
CorePF_LR,Core penetration fraction,L1_WITHIN,778,0.6118251928020566,0.5455352626819236,0.534891203349387,0.8912512023994152,0.4434447300771208,0.9447300771208226,0.055269922879177376,0.583377803189124,0.4481132075471698
CorePF_LR,Core penetration fraction,POOLED_SENSOR_AWARE_H300,778,0.6722365038560412,0.6499394414618763,0.6478005844701411,0.8727173618788888,0.39331619537275064,0.9524421593830334,0.04755784061696658,0.6194396798170382,0.5
GlobalPF_LR,Global penetration fraction,H300_WITHIN,778,0.6105398457583547,0.5922565162036818,0.5835905659264431,0.8465863510686128,0.47429305912596403,0.9408740359897172,0.05912596401028278,0.543131676150544,0.3492063492063492
GlobalPF_LR,Global penetration fraction,L1_TO_H300_BIAS,778,0.6632390745501285,0.6625067468140833,0.6532451534133422,0.8532175262700802,0.4190231362467866,0.9383033419023136,0.061696658097686374,0.5855988002214417,0.3492063492063492
GlobalPF_LR,Global penetration fraction,L1_TO_H300_RAW,778,0.5616966580976864,0.5711498373855602,0.5498898946787796,0.8263524669318482,0.5347043701799485,0.9177377892030848,0.08226221079691516,0.5227892128835525,0.3333333333333333
GlobalPF_LR,Global penetration fraction,L1_WITHIN,778,0.6066838046272494,0.5746928918033489,0.5624102485188481,0.8880355927014325,0.43958868894601544,0.9588688946015425,0.04113110539845758,0.6001599553486345,0.5518867924528302
GlobalPF_LR,Global penetration fraction,POOLED_SENSOR_AWARE_H300,778,0.6182519280205655,0.6021540588541267,0.5942147993493742,0.8441045198122847,0.4704370179948586,0.9383033419023136,0.061696658097686374,0.5520093114432737,0.35714285714285715
MidpointCompact_LR,Core penetration fraction + penetration prevalence,H300_WITHIN,778,0.6966580976863753,0.6821865017798496,0.6777365984377687,0.8517810702035797,0.38303341902313626,0.9601542416452442,0.03984575835475578,0.6222476335683883,0.4444444444444444
MidpointCompact_LR,Core penetration fraction + penetration prevalence,L1_TO_H300_BIAS,778,0.5886889460154242,0.568588594199974,0.5436859919035371,0.8259087333438607,0.5154241645244216,0.9203084832904884,0.07969151670951156,0.5107383357383357,0.3253968253968254
MidpointCompact_LR,Core penetration fraction + penetration prevalence,L1_TO_H300_RAW,778,0.5218508997429306,0.5033736630611412,0.4876249036728456,0.7588709671255429,0.6465295629820051,0.8534704370179949,0.14652956298200515,0.4256178133536624,0.2222222222222222
MidpointCompact_LR,Core penetration fraction + penetration prevalence,L1_WITHIN,778,0.6619537275064268,0.6373955005153473,0.633390557580977,0.9050872270342808,0.36503856041131105,0.9781491002570694,0.021850899742930592,0.6446590795647399,0.5990566037735849
MidpointCompact_LR,Core penetration fraction + penetration prevalence,POOLED_SENSOR_AWARE_H300,778,0.6786632390745502,0.662793061905481,0.6585260249062965,0.8724710577121078,0.3791773778920309,0.967866323907455,0.032133676092544985,0.6048651383557044,0.4365079365079365
MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,H300_WITHIN,778,0.6259640102827764,0.6415907417005215,0.6215425864086743,0.6371356611552341,0.6323907455012854,0.903598971722365,0.09640102827763496,0.5789514643288228,0.4444444444444444
MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,L1_TO_H300_BIAS,778,0.5809768637532133,0.564279303945994,0.5438002290953938,0.8016839586623495,0.5462724935732648,0.897172236503856,0.10282776349614396,0.4886057338887528,0.2857142857142857
MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,L1_TO_H300_RAW,778,0.5051413881748072,0.4891742710874749,0.4574879484228263,0.7160505005976989,0.7082262210796915,0.8033419023136247,0.19665809768637532,0.39466475174022336,0.1746031746031746
MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,L1_WITHIN,778,0.7133676092544987,0.6884156001001351,0.6851299866866765,0.9185623600628763,0.31233933161953725,0.9794344473007712,0.02056555269922879,0.6792942906150454,0.6132075471698113
MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,POOLED_SENSOR_AWARE_H300,778,0.6786632390745502,0.6642304685270607,0.6601971440886232,0.8610842218034728,0.39203084832904883,0.9588688946015425,0.04113110539845758,0.5994597820069518,0.42063492063492064
