Scheme,HeldField,Method,TreeKey,OriginalClass,True,Pred
five_class,1,MidpointCompact_LR,1|0101|1,4,4,4
five_class,1,MidpointCompact_LR,1|0102|1,4,4,4
five_class,1,MidpointCompact_LR,1|0103|1,4,4,4
five_class,1,MidpointCompact_LR,1|0104|1,4,4,4
five_class,1,MidpointCompact_LR,1|0105|1,4,4,4
five_class,1,MidpointCompact_LR,1|0106|1,4,4,4
five_class,1,MidpointCompact_LR,1|0107|1,4,4,3
five_class,1,MidpointCompact_LR,1|0108|1,4,4,4
five_class,1,MidpointCompact_LR,1|0109|1,4,4,4
five_class,1,MidpointCompact_LR,1|0110|1,4,4,4
five_class,1,MidpointCompact_LR,1|0111|1,4,4,4
five_class,1,MidpointCompact_LR,1|0112|1,4,4,4
five_class,1,MidpointCompact_LR,1|0113|1,4,4,4
five_class,1,MidpointCompact_LR,1|0114|1,4,4,4
five_class,1,MidpointCompact_LR,1|0115|1,4,4,4
five_class,1,MidpointCompact_LR,1|0116|1,4,4,3
five_class,1,MidpointCompact_LR,1|0117|1,4,4,4
five_class,1,MidpointCompact_LR,1|0118|1,4,4,4
five_class,1,MidpointCompact_LR,1|0119|1,4,4,4
five_class,1,MidpointCompact_LR,1|0120|1,4,4,4
five_class,1,MidpointCompact_LR,1|0121|1,4,4,2
five_class,1,MidpointCompact_LR,1|0122|1,4,4,3
five_class,1,MidpointCompact_LR,1|0123|1,4,4,3
five_class,1,MidpointCompact_LR,1|0124|1,4,4,3
five_class,1,MidpointCompact_LR,1|0125|1,4,4,4
five_class,1,MidpointCompact_LR,1|0126|1,4,4,3
five_class,1,MidpointCompact_LR,1|0127|2,0,0,0
five_class,1,MidpointCompact_LR,1|0128|2,1,1,1
five_class,1,MidpointCompact_LR,1|0129|2,1,1,1
five_class,1,MidpointCompact_LR,1|0130|2,1,1,1
five_class,1,MidpointCompact_LR,1|0131|2,1,1,1
five_class,1,MidpointCompact_LR,1|0132|2,1,1,1
five_class,1,MidpointCompact_LR,1|0133|2,2,2,1
five_class,1,MidpointCompact_LR,1|0134|2,1,1,1
five_class,1,MidpointCompact_LR,1|0135|2,1,1,1
